------width:10-10 offset:2000-3999
offset:2095 width:10 crashed
offset:2097 width:10 crashed
offset:2186 width:10 crashed
offset:2190 width:10 crashed
offset:2206 width:10 crashed
offset:2407 width:10 crashed
offset:2647 width:10 crashed
offset:2684 width:10 crashed
offset:2801 width:10 crashed
offset:2927 width:10 crashed
offset:3337 width:10 crashed
offset:3561 width:10 crashed
offset:3618 width:10 crashed
offset:3797 width:10 crashed
offset:3897 width:10 crashed
------width:9-9 offset:2000-3999
offset:2032 width:9 crashed
offset:2265 width:9 crashed
offset:2275 width:9 crashed
offset:2407 width:9 crashed
offset:2638 width:9 crashed
offset:2845 width:9 crashed
offset:2884 width:9 crashed
offset:2959 width:9 crashed
offset:2996 width:9 crashed
offset:3397 width:9 crashed
offset:3444 width:9 crashed
offset:3463 width:9 crashed
offset:3472 width:9 crashed
offset:3594 width:9 crashed
offset:3631 width:9 crashed
------width:8-8 offset:2000-3999
offset:2183 width:8 crashed
offset:2308 width:8 crashed
offset:2387 width:8 crashed
offset:2628 width:8 crashed
offset:2684 width:8 crashed
------width:7-7 offset:2000-3999
offset:2069 width:7 crashed
offset:2098 width:7 crashed
offset:2105 width:7 crashed
offset:2109 width:7 crashed
offset:2124 width:7 crashed
offset:2131 width:7 crashed
offset:2152 width:7 crashed
offset:2265 width:7 crashed
offset:2371 width:7 crashed
offset:2508 width:7 crashed
offset:2702 width:7 crashed
offset:2745 width:7 crashed
offset:3020 width:7 crashed
offset:3048 width:7 crashed
offset:3206 width:7 crashed
offset:3284 width:7 crashed
offset:3378 width:7 crashed
offset:3430 width:7 crashed
offset:3704 width:7 crashed
offset:3724 width:7 crashed
offset:3729 width:7 crashed
offset:3838 width:7 crashed
offset:3900 width:7 crashed
------width:6-6 offset:2000-3999
offset:2045 width:6 crashed
offset:2090 width:6 crashed
offset:2156 width:6 crashed
offset:2291 width:6 crashed
offset:2448 width:6 crashed
offset:2500 width:6 crashed
offset:2675 width:6 crashed
offset:2764 width:6 crashed
offset:2796 width:6 crashed
offset:2815 width:6 crashed
offset:2982 width:6 crashed
offset:3102 width:6 crashed
offset:3104 width:6 crashed
offset:3687 width:6 crashed
offset:3797 width:6 crashed
offset:3869 width:6 crashed
offset:3897 width:6 crashed
